Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Beras,II,Sumatera Selatan,1,"14,400","15,150","15,400","15,300","15,100","15,100","14,950","14,850","14,850","14,900","14,900","14,900","14,950","14,950","15,000","14,950","15,050","15,200","15,300","15,500","15,500","15,500","15,500","15,500","15,500","15,600","15,700","15,800",Sumatera
Daging Ayam,II,Sumatera Selatan,1,"31,850","34,750","35,950","35,850","35,400","34,350","31,900","31,250","30,700","34,550","34,150","34,300","34,900","32,400","32,500","30,450","30,300","31,600","33,500","32,300","36,400","36,600","36,150","38,000","37,250","37,700","38,700","36,200",Sumatera
Daging Sapi,II,Sumatera Selatan,1,"138,700","138,750","138,750","140,800","138,750","138,750","138,750","138,100","138,700","138,750","138,750","138,750","139,150","139,100","141,100","141,650","139,150","139,050","139,100","139,100","139,600","140,000","140,000","141,750","140,700","142,150","144,900","141,900",Sumatera
Telur Ayam,II,Sumatera Selatan,1,"26,450","27,300","29,400","28,450","28,800","28,450","28,050","27,300","26,700","27,100","27,050","28,200","27,800","27,700","28,350","27,700","27,250","27,350","27,800","27,800","27,800","28,700","29,200","29,800","30,000","29,800","29,950","29,500",Sumatera
Bawang Merah,II,Sumatera Selatan,1,"36,400","34,750","37,700","53,450","54,750","45,550","34,050","29,350","28,200","30,750","36,500","38,500","41,150","38,700","44,400","45,300","42,300","43,050","44,450","49,850","42,200","36,600","38,100","45,300","45,300","44,000","41,250","41,900",Sumatera
Bawang Putih,II,Sumatera Selatan,1,"39,000","36,800","40,100","45,150","43,100","41,400","38,800","39,350","38,550","39,500","41,450","41,900","42,550","42,600","47,300","47,550","42,800","42,250","39,200","39,200","36,450","36,300","36,000","40,400","38,800","39,900","39,300","41,050",Sumatera
Cabai Merah,II,Sumatera Selatan,1,"54,200","82,250","68,100","54,250","54,550","66,450","59,700","52,000","37,050","32,050","30,450","37,900","61,400","63,200","62,350","60,600","45,500","41,600","43,150","42,000","58,350","60,350","62,550","72,700","42,850","55,300","50,550","40,350",Sumatera
Cabai Rawit,II,Sumatera Selatan,1,"50,750","75,050","80,450","66,400","58,000","59,800","70,100","64,550","51,800","54,000","43,150","46,900","76,750","87,400","88,150","76,050","46,250","43,300","51,300","45,450","49,000","43,400","42,550","74,350","59,150","70,800","66,900","51,350",Sumatera
Minyak Goreng,II,Sumatera Selatan,1,"18,500","18,800","18,850","18,900","18,900","18,900","18,900","19,000","18,800","18,650","19,050","19,900","20,250","20,450","20,450","20,600","20,600","20,650","20,850","20,900","20,900","20,900","20,900","20,900","20,900","20,900","21,000","21,000",Sumatera
Gula Pasir,II,Sumatera Selatan,1,"16,600","17,050","17,150","17,500","18,550","18,500","18,300","18,100","17,900","17,900","17,900","18,100","18,250","18,150","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,250","18,550","18,800",Sumatera
Beras,II,Bengkulu,1,"14,950","15,450","15,900","15,700","15,200","15,150","15,150","15,200","15,250","15,200","15,200","15,150","15,150","15,200","15,250","15,300","15,300","15,400","15,550","15,650","15,550","15,550","15,500","15,500","15,500","15,450","15,400","15,450",Bengkulu
Daging Ayam,II,Bengkulu,1,"32,900","36,550","37,100","37,300","37,200","35,300","32,450","31,750","31,450","35,250","35,050","36,450","36,500","32,550","32,400","30,100","31,750","33,150","36,250","33,800","38,500","38,250","38,150","41,750","39,750","41,600","42,950","40,350",Bengkulu
Daging Sapi,II,Bengkulu,1,"135,650","135,650","136,550","136,200","135,300","135,300","135,400","135,300","135,300","135,300","135,700","135,300","135,250","135,150","135,300","135,300","134,750","134,850","134,700","134,700","134,700","134,700","134,700","135,850","135,750","136,850","142,450","146,500",Bengkulu
Telur Ayam,II,Bengkulu,1,"26,900","27,450","28,400","28,800","28,350","27,800","27,700","27,450","28,350","27,950","27,350","28,150","29,450","28,550","28,350","28,250","28,300","28,000","28,300","28,650","29,250","29,400","29,200","30,650","30,600","29,500","29,600","29,300",Bengkulu
Bawang Merah,II,Bengkulu,1,"37,400","34,900","38,950","52,350","56,550","45,200","33,300","26,250","27,950","30,650","39,800","42,550","40,650","40,000","45,000","48,900","46,100","43,600","51,350","54,550","41,450","40,700","41,700","47,350","41,950","41,100","40,300","44,950",Bengkulu
Bawang Putih,II,Bengkulu,1,"39,300","38,150","40,450","44,200","46,050","42,900","40,550","41,150","40,500","40,600","42,550","43,000","42,900","43,200","46,200","47,050","44,100","39,900","39,100","39,000","39,350","38,600","38,150","41,100","40,200","39,750","37,750","39,400",Bengkulu
Cabai Merah,II,Bengkulu,1,"47,050","67,200","61,150","45,800","53,100","57,700","44,200","42,350","31,600","24,150","23,900","31,200","51,550","51,300","42,400","47,800","38,500","33,600","33,200","37,900","60,500","59,700","61,550","64,250","36,650","42,950","36,250","31,800",Bengkulu
Cabai Rawit,II,Bengkulu,1,"34,200","49,650","62,150","49,000","45,250","45,600","51,850","47,200","37,050","36,300","27,900","31,300","50,600","62,350","57,250","46,100","31,900","33,500","38,400","34,300","36,100","31,950","32,250","52,250","52,450","55,050","46,100","40,200",Bengkulu
Minyak Goreng,II,Bengkulu,1,"17,100","17,200","17,300","17,750","17,800","17,800","18,050","18,150","18,200","18,250","18,550","19,000","19,950","20,050","20,100","20,100","20,050","19,950","19,800","19,750","19,650","19,500","19,500","19,850","20,050","20,150","20,200","20,900",Bengkulu
Gula Pasir,II,Bengkulu,1,"17,650","17,650","17,600","17,800","18,600","18,250","17,850","17,900","17,950","17,900","18,250","18,250","18,650","18,850","18,850","18,900","18,900","18,800","18,450","18,100","18,150","18,200","18,150","18,200","18,300","18,350","18,750","19,100",Bengkulu
Beras,II,Kalimantan Selatan,1,"17,750","18,000","18,600","18,600","18,850","18,700","18,600","18,550","18,350","18,300","18,000","17,600","17,300","17,050","17,100","17,100","17,100","17,200","17,300","17,400","17,450","17,450","17,450","17,550","17,750","17,850","18,100","18,450",Kalimantan
Daging Ayam,II,Kalimantan Selatan,1,"46,550","42,500","42,950","45,850","46,350","45,400","42,900","41,150","41,050","41,200","42,950","43,400","44,700","42,900","43,500","43,000","42,250","40,450","41,500","40,700","42,450","43,850","40,750","42,100","43,200","45,300","47,950","44,000",Kalimantan
Daging Sapi,II,Kalimantan Selatan,1,"159,100","158,900","158,500","161,200","163,350","163,350","163,950","164,550","163,800","164,150","164,150","163,850","163,900","162,850","163,800","164,250","164,150","165,100","164,150","164,150","164,100","163,350","163,250","162,900","162,900","162,900","164,250","163,850",Kalimantan
Telur Ayam,II,Kalimantan Selatan,1,"30,500","31,200","33,100","31,950","32,000","32,350","31,900","30,400","29,250","29,850","29,750","30,150","31,100","30,150","30,500","30,200","29,850","30,200","30,350","30,150","30,500","32,350","32,650","32,350","32,350","32,050","33,500","32,750",Kalimantan
Bawang Merah,II,Kalimantan Selatan,1,"38,000","33,200","29,700","46,800","45,500","40,700","32,200","24,050","28,050","27,550","37,850","41,550","36,100","31,500","39,200","43,600","37,500","49,450","48,600","55,650","40,350","37,750","39,150","51,000","45,500","38,850","41,250","47,350",Kalimantan
Bawang Putih,II,Kalimantan Selatan,1,"38,800","37,250","40,300","42,900","40,950","40,500","38,450","38,900","39,050","39,150","40,000","40,700","40,600","41,150","42,200","42,550","40,450","38,550","38,250","37,600","36,400","35,950","35,800","36,750","37,300","36,750","36,850","37,100",Kalimantan
Cabai Merah,II,Kalimantan Selatan,1,"61,050","69,950","67,450","46,450","45,800","54,000","41,650","37,150","33,050","28,000","26,150","42,250","62,350","56,150","70,300","68,200","58,950","55,350","51,200","45,750","47,700","35,500","54,050","60,650","37,500","39,750","52,700","44,500",Kalimantan
Cabai Rawit,II,Kalimantan Selatan,1,"45,150","44,800","52,450","41,550","36,000","41,500","49,200","49,150","36,500","32,400","32,850","37,000","57,600","58,150","74,350","66,400","43,300","47,150","56,200","37,750","35,550","28,750","31,250","50,500","42,250","55,300","64,900","61,500",Kalimantan
Minyak Goreng,II,Kalimantan Selatan,1,"19,450","19,300","19,450","19,400","19,450","19,350","19,400","19,550","19,550","19,600","19,750","20,100","19,900","19,900","20,350","20,850","21,150","21,200","21,050","21,050","21,050","21,050","21,050","21,050","21,050","21,100","21,050","21,350",Kalimantan
Gula Pasir,II,Kalimantan Selatan,1,"17,600","17,700","17,800","18,050","18,750","18,600","18,550","18,400","18,500","18,650","18,650","18,550","18,600","18,650","18,800","18,800","18,800","19,000","19,000","18,800","18,700","18,700","18,700","18,700","18,900","18,950","19,250","19,900",Kalimantan
Beras,II,Lampung,1,"13,750","14,400","14,700","14,600","14,000","13,950","14,050","14,200","14,350","14,400","14,500","14,500","14,550","14,500","14,700","14,700","14,500","14,550","14,750","14,800","14,800","14,800","14,750","14,650","14,750","14,850","14,850","14,850",Lampung
Daging Ayam,II,Lampung,1,"31,700","32,600","34,350","33,500","32,000","31,950","31,350","29,850","29,500","31,550","31,800","31,400","31,450","30,550","30,800","28,950","28,500","30,000","30,200","29,600","33,450","33,750","33,800","35,700","33,950","34,850","35,750","33,700",Lampung
Daging Sapi,II,Lampung,1,"129,400","129,400","131,650","137,050","131,150","130,350","130,650","130,650","130,650","130,550","130,650","130,650","130,650","130,800","134,400","133,450","128,850","128,750","128,750","128,750","128,750","128,750","129,150","129,600","130,000","132,200","137,800","133,750",Lampung
Telur Ayam,II,Lampung,1,"26,150","27,200","29,550","28,850","28,950","28,700","28,500","27,300","26,050","26,550","26,700","28,050","28,350","28,200","28,700","27,650","27,250","27,500","28,150","28,300","27,900","29,050","29,100","29,100","29,100","29,450","30,100","29,100",Lampung
Bawang Merah,II,Lampung,1,"30,300","28,550","29,000","48,850","47,400","36,400","26,150","20,850","22,650","25,600","35,150","36,650","33,200","29,900","45,300","46,600","37,850","39,600","46,050","46,100","35,900","36,900","37,850","41,550","36,000","38,700","37,900","39,550",Lampung
Bawang Putih,II,Lampung,1,"35,450","35,500","38,100","42,250","42,150","39,200","38,150","38,300","38,450","38,700","39,700","41,200","41,350","42,000","44,850","45,900","41,250","38,100","37,300","36,250","33,900","33,350","33,450","34,650","35,750","36,600","35,850","35,200",Lampung
Cabai Merah,II,Lampung,1,"62,150","80,750","63,700","40,900","45,800","52,200","43,450","41,700","29,550","25,300","25,050","41,600","64,050","52,600","49,000","56,300","41,250","38,350","39,100","38,450","53,850","54,450","60,150","59,600","39,100","40,950","37,700","35,200",Lampung
Cabai Rawit,II,Lampung,1,"45,650","52,850","53,500","37,750","34,250","41,450","54,250","54,400","40,000","40,600","32,500","38,850","72,800","68,600","67,800","57,700","34,600","45,500","52,650","37,700","38,200","32,950","36,450","66,150","55,700","60,700","59,600","52,050",Lampung
Minyak Goreng,II,Lampung,1,"17,250","17,350","17,650","17,900","17,850","17,500","17,600","17,750","17,750","17,900","18,700","19,750","20,350","20,250","20,200","20,200","20,100","19,950","19,900","19,850","19,900","19,850","19,800","19,700","19,700","19,950","20,450","21,250",Lampung
Gula Pasir,II,Lampung,1,"16,700","16,750","16,950","17,550","18,250","17,750","17,850","17,900","17,850","17,950","17,900","18,000","18,250","18,550","18,550","18,550","18,500","18,250","18,400","18,400","18,300","18,150","18,100","18,100","18,150","18,300","18,850","19,150",Lampung
Beras,II,Papua Barat,1,"15,600","15,750","16,200","16,500","16,800","16,900","16,750","16,550","16,650","16,450","16,350","16,400","16,400","16,450","16,450","16,550","16,700","16,800","16,950","16,950","16,900","16,950","16,900","16,850","16,800","16,800","16,850","16,850",Papua
Daging Ayam,II,Papua Barat,1,"48,400","46,700","47,700","48,450","48,800","49,550","50,500","52,200","49,100","49,550","49,050","51,050","50,300","48,350","47,550","46,150","46,150","45,850","44,100","44,300","46,450","44,150","49,450","57,750","56,650","52,500","51,100","52,600",Papua
Daging Sapi,II,Papua Barat,1,"147,500","147,500","147,500","149,100","147,500","147,500","147,550","147,500","147,500","147,500","147,500","149,100","147,950","147,650","148,950","147,950","147,500","147,500","147,500","147,500","147,500","147,500","147,500","149,250","147,950","147,500","151,150","152,500",Papua
Telur Ayam,II,Papua Barat,1,"37,600","35,450","37,400","38,200","37,050","37,100","36,250","36,000","35,150","35,000","35,800","36,800","37,900","35,100","36,200","35,200","34,000","34,050","35,200","35,200","35,350","36,150","37,300","39,250","39,150","37,650","38,900","37,600",Papua
Bawang Merah,II,Papua Barat,1,"56,850","54,700","51,400","59,100","62,500","60,200","53,100","43,000","43,950","45,450","52,400","58,050","56,400","51,900","55,900","58,800","52,250","53,850","60,400","73,100","60,000","54,650","55,150","68,150","64,550","57,800","61,200","63,900",Papua
Bawang Putih,II,Papua Barat,1,"56,150","53,350","50,750","55,700","58,750","59,150","54,250","50,800","51,950","51,450","52,000","53,250","54,550","52,150","54,700","57,600","55,000","52,300","52,500","55,350","52,150","52,400","50,550","53,500","52,850","52,650","52,650","52,500",Papua
Cabai Merah,II,Papua Barat,1,"53,300","49,850","55,300","75,450","58,950","73,400","78,750","69,900","54,050","46,100","39,600","47,600","52,850","53,250","55,850","60,750","63,750","60,150","63,150","61,650","51,850","48,350","55,000","73,150","66,950","55,650","76,950","69,550",Papua
Cabai Rawit,II,Papua Barat,1,"76,500","59,950","56,350","72,600","70,050","81,150","110,200","98,300","83,950","77,450","74,350","77,250","81,150","58,300","54,900","71,900","71,700","69,450","96,900","86,950","72,800","67,350","73,750","124,950","84,900","72,250","113,900","96,600",Papua
Minyak Goreng,II,Papua Barat,1,"23,750","23,500","23,550","23,800","22,850","22,350","22,350","22,350","22,300","22,550","23,350","23,450","23,350","22,850","23,300","23,750","23,800","23,750","23,400","23,500","23,500","23,650","23,850","23,850","23,800","24,050","23,800","23,850",Papua
Gula Pasir,II,Papua Barat,1,"19,750","19,700","19,750","19,900","19,900","19,850","20,100","20,150","20,150","20,200","20,450","20,600","20,800","20,950","21,200","21,350","21,350","21,250","20,900","20,950","20,700","20,700","20,750","20,750","20,750","20,500","20,550","20,750",Papua
Beras,II,Sulawesi Tenggara,1,"14,150","14,700","16,200","15,750","15,200","15,050","15,150","15,000","14,800","14,800","14,700","14,700","14,850","14,950","15,050","15,150","15,300","15,700","16,400","16,500","16,450","15,900","15,600","15,550","15,500","15,450","15,500","15,650",Sulawesi
Daging Ayam,II,Sulawesi Tenggara,1,"36,350","35,950","35,950","36,200","36,350","34,700","33,600","32,950","33,550","33,650","34,950","38,950","37,800","35,950","35,450","36,200","34,200","35,200","33,650","32,850","34,200","35,650","35,600","37,700","37,750","37,700","39,600","39,000",Sulawesi
Daging Sapi,II,Sulawesi Tenggara,1,"138,150","138,150","138,150","139,000","138,450","138,450","138,450","138,450","138,450","138,450","138,450","138,450","138,450","138,500","139,400","139,400","139,400","139,150","137,650","136,900","136,900","136,900","136,900","136,900","136,900","136,900","139,900","139,700",Sulawesi
Telur Ayam,II,Sulawesi Tenggara,1,"29,650","30,400","33,200","33,700","33,150","32,300","31,450","30,950","31,200","31,600","30,200","30,600","30,600","30,400","31,950","31,800","31,500","31,000","30,850","30,950","31,500","32,200","31,850","32,200","32,600","32,750","35,650","35,300",Sulawesi
Bawang Merah,II,Sulawesi Tenggara,1,"46,550","44,800","41,750","50,350","54,050","47,550","38,550","33,050","31,600","32,650","40,700","45,250","44,400","41,300","47,550","48,700","44,250","50,000","50,700","58,000","52,550","44,400","43,700","55,200","51,400","45,000","45,600","51,350",Sulawesi
Bawang Putih,II,Sulawesi Tenggara,1,"45,300","45,200","47,650","50,500","52,850","50,850","49,700","48,700","49,150","48,900","48,250","48,450","49,750","50,000","50,050","50,000","50,000","48,400","46,650","46,550","45,150","44,500","44,400","45,800","46,250","45,950","46,100","46,250",Sulawesi
Cabai Merah,II,Sulawesi Tenggara,1,"58,600","52,800","60,550","44,700","46,300","68,200","51,100","42,500","38,000","28,950","26,200","32,500","44,250","48,800","68,050","64,750","56,900","61,050","51,350","48,100","46,100","41,050","46,450","48,500","32,750","36,350","42,300","39,700",Sulawesi
Cabai Rawit,II,Sulawesi Tenggara,1,"107,100","71,700","69,900","57,150","60,650","70,150","63,900","64,650","52,850","48,750","49,000","48,400","54,000","62,600","93,100","83,600","69,200","76,200","102,650","83,100","59,350","55,050","54,550","63,550","47,200","51,600","61,650","55,150",Sulawesi
Minyak Goreng,II,Sulawesi Tenggara,1,"20,600","20,300","20,250","20,200","20,300","20,100","20,050","20,100","20,300","20,450","20,650","20,950","21,150","21,300","21,350","21,800","22,250","22,300","22,300","22,300","22,250","22,250","22,250","22,300","22,400","22,350","22,400","23,200",Sulawesi
Gula Pasir,II,Sulawesi Tenggara,1,"19,100","19,150","20,000","20,100","20,350","20,250","20,000","19,750","19,800","19,850","19,800","19,850","20,300","20,900","21,250","21,100","20,950","20,950","20,800","20,650","20,300","20,100","20,200","20,250","20,350","20,500","20,600","20,950",Sulawesi
Beras,II,Gorontalo,1,"14,550","15,250","17,650","15,900","14,750","14,500","14,400","14,700","14,750","14,600","14,500","14,550","14,550","14,700","14,750","14,750","14,750","15,400","16,300","16,900","16,800","16,450","15,950","15,550","15,250","15,200","15,100","15,100",Gorontalo
Daging Ayam,II,Gorontalo,1,"30,050","31,200","33,250","32,000","29,250","29,000","29,900","27,900","26,200","28,650","30,350","32,650","33,750","27,750","31,700","32,700","29,900","28,700","28,700","28,750","29,450","31,300","33,500","37,500","36,050","36,100","35,350","37,150",Gorontalo
Daging Sapi,II,Gorontalo,1,"131,850","131,900","132,150","135,800","135,000","135,050","132,500","132,500","132,500","132,500","132,500","132,500","132,500","132,500","135,600","133,650","132,500","132,500","132,500","132,750","137,500","137,500","137,500","137,450","137,250","138,950","143,850","145,000",Gorontalo
Telur Ayam,II,Gorontalo,1,"33,300","33,550","40,100","38,800","35,900","34,000","31,900","31,450","32,450","33,350","32,050","32,350","33,250","32,450","35,100","35,450","35,000","33,100","31,950","31,750","34,750","33,500","35,250","38,450","37,450","38,900","40,350","40,300",Gorontalo
Bawang Merah,II,Gorontalo,1,"46,450","39,550","36,800","52,350","50,300","49,550","38,650","30,600","36,600","38,350","48,100","49,050","41,700","40,150","48,850","46,500","42,650","54,750","58,300","64,650","46,150","45,750","43,250","62,100","50,600","46,000","50,300","52,150",Gorontalo
Bawang Putih,II,Gorontalo,1,"43,000","41,200","48,650","54,800","53,100","50,100","46,400","45,600","45,700","46,000","47,700","48,200","47,850","48,900","50,450","49,550","48,900","47,700","46,700","45,200","44,000","42,400","41,500","42,400","43,550","44,400","44,250","44,150",Gorontalo
Cabai Merah,II,Gorontalo,1,"32,200","34,900","37,050","33,100","37,400","57,250","49,100","56,150","52,700","47,800","35,400","31,350","37,050","47,150","47,550","63,050","64,750","63,050","61,650","43,250","41,850","38,350","36,100","38,600","27,300","36,900","45,150","53,500",Gorontalo
Cabai Rawit,II,Gorontalo,1,"45,700","38,750","52,850","53,450","62,500","76,050","54,900","72,350","71,550","61,050","61,950","50,000","61,400","67,700","92,800","87,450","72,850","75,250","79,550","50,900","52,950","43,900","34,000","53,850","34,900","59,650","72,400","82,900",Gorontalo
Minyak Goreng,II,Gorontalo,1,"22,950","22,800","23,300","22,800","23,050","23,200","23,500","23,550","23,600","24,400","24,750","25,050","25,050","25,150","25,700","26,000","25,700","25,450","25,400","25,500","25,600","25,900","26,150","25,900","26,050","26,100","26,400","26,750",Gorontalo
Gula Pasir,II,Gorontalo,1,"18,650","18,350","19,350","19,600","19,600","18,900","18,850","18,750","18,800","19,150","19,300","19,400","19,800","20,000","20,050","20,100","20,000","19,700","19,700","19,600","19,350","19,300","19,200","19,200","19,450","19,700","19,800","21,000",Gorontalo
Beras,II,Jawa Timur,1,"13,900","15,050","15,200","14,700","14,000","14,000","14,150","14,050","14,100","14,100","14,000","14,050","14,100","14,150","14,250","14,200","14,250","14,500","14,650","14,750","14,800","14,800","14,650","14,600","14,550","14,600","14,700","14,750",Jawa
Daging Ayam,II,Jawa Timur,1,"31,850","33,850","38,350","37,250","36,500","34,100","33,350","32,850","32,400","34,000","35,100","34,650","34,750","34,100","34,550","31,600","30,550","31,450","31,450","32,450","37,250","36,800","36,000","37,950","35,700","39,450","40,650","35,800",Jawa
Daging Sapi,II,Jawa Timur,1,"118,000","117,750","118,150","122,000","121,000","120,350","120,150","119,800","120,700","121,250","121,650","121,700","120,850","120,700","121,800","122,800","121,250","121,100","120,400","120,000","120,300","122,200","123,100","123,600","124,250","124,800","128,350","129,200",Jawa
Telur Ayam,II,Jawa Timur,1,"25,550","27,900","30,600","27,350","28,350","27,200","26,850","25,850","25,300","25,600","25,500","28,250","27,150","27,450","27,350","25,800","25,850","26,850","27,700","27,000","27,400","29,300","28,500","29,500","28,150","29,750","30,100","27,700",Jawa
Bawang Merah,II,Jawa Timur,1,"33,950","29,050","30,750","46,850","49,350","38,850","26,400","21,450","23,550","26,400","36,500","39,200","36,850","31,500","43,600","46,450","37,800","41,100","44,750","48,050","35,750","37,250","41,200","47,350","37,750","40,550","40,850","40,250",Jawa
Bawang Putih,II,Jawa Timur,1,"34,950","34,350","36,550","37,950","38,300","36,750","35,900","36,350","36,150","36,450","37,550","38,700","38,800","38,900","39,850","39,650","35,800","31,700","31,000","30,200","30,400","30,600","30,600","31,200","33,700","32,400","31,150","30,700",Jawa
Cabai Merah,II,Jawa Timur,1,"58,550","72,300","50,250","40,650","45,000","44,400","32,500","31,950","19,200","16,250","17,250","31,000","52,200","47,000","47,600","40,100","29,050","31,550","30,750","31,250","37,050","44,500","50,750","43,150","26,400","32,100","37,350","35,100",Jawa
Cabai Rawit,II,Jawa Timur,1,"36,950","41,800","36,500","25,950","22,300","28,600","47,250","40,500","27,450","27,750","23,450","31,550","55,400","53,150","62,750","47,650","23,600","36,250","40,650","25,050","26,100","22,350","27,150","53,950","41,400","67,550","63,900","47,900",Jawa
Minyak Goreng,II,Jawa Timur,1,"17,600","17,750","18,100","18,250","18,100","17,950","18,050","18,150","18,200","18,400","18,650","19,300","19,850","20,000","20,100","20,100","20,000","19,950","19,950","20,100","20,200","20,250","20,300","20,350","20,400","20,450","20,950","21,700",Jawa
Gula Pasir,II,Jawa Timur,1,"16,750","17,000","17,200","17,550","17,800","17,400","17,100","17,150","17,200","17,350","17,350","17,350","17,750","18,000","18,000","18,000","17,900","17,400","17,100","17,050","16,900","16,900","16,950","16,950","17,100","17,300","17,750","18,150",Jawa
Beras,II,Papua,1,"15,350","15,800","17,350","17,000","16,900","16,950","17,000","17,050","17,050","16,900","16,800","16,800","16,650","16,800","17,300","18,150","18,350","18,500","18,550","18,850","18,950","18,900","18,950","18,800","18,850","19,050","19,100","19,050",Papua
Daging Ayam,II,Papua,1,"42,550","42,300","42,150","43,200","43,650","43,600","43,200","43,350","43,050","42,800","42,700","43,300","43,700","43,400","44,550","45,900","45,800","45,650","45,200","44,750","44,850","45,050","45,150","46,900","47,800","48,400","50,250","51,550",Papua
Daging Sapi,II,Papua,1,"133,800","133,800","134,100","136,350","134,700","135,600","135,150","135,050","134,900","134,850","135,050","134,950","135,850","135,400","144,000","156,250","151,950","151,550","151,600","151,500","151,250","151,400","151,600","155,150","157,500","157,400","160,050","157,550",Papua
Telur Ayam,II,Papua,1,"36,750","36,350","36,800","37,550","38,300","38,150","38,100","37,750","37,850","37,900","37,500","40,400","39,750","38,300","38,900","39,500","39,300","39,000","38,800","39,150","39,050","39,150","39,550","40,450","41,200","40,900","40,900","41,200",Papua
Bawang Merah,II,Papua,1,"53,650","54,950","51,350","58,050","62,950","60,400","54,100","46,550","43,700","43,850","50,400","58,250","57,850","56,300","58,450","67,700","61,700","61,650","67,350","72,400","70,800","61,450","61,700","70,000","73,700","67,050","67,300","70,750",Papua
Bawang Putih,II,Papua,1,"49,450","51,800","50,700","52,700","55,400","54,450","52,150","50,000","49,750","48,750","49,700","55,400","53,900","55,550","58,400","61,650","59,750","57,400","57,400","55,800","56,200","54,200","53,200","54,950","57,900","56,600","57,550","56,500",Papua
Cabai Merah,II,Papua,1,"69,650","61,400","68,950","77,950","79,550","103,250","94,800","95,550","71,900","55,250","55,600","55,850","63,650","91,900","87,150","83,550","89,000","81,950","91,750","95,500","76,300","73,500","80,800","81,500","70,400","76,500","83,900","67,350",Papua
Cabai Rawit,II,Papua,1,"78,700","45,800","35,950","49,150","72,400","77,100","77,250","87,900","67,050","51,350","51,200","54,550","58,800","59,450","74,650","75,000","80,100","71,950","89,800","83,050","76,550","74,250","73,500","81,700","69,400","71,050","86,750","79,200",Papua
Minyak Goreng,II,Papua,1,"21,350","21,200","21,350","21,450","21,350","21,350","21,000","21,100","21,300","21,350","21,450","21,550","21,700","21,700","22,650","23,850","24,150","24,450","24,600","24,900","24,950","25,000","25,000","25,050","25,050","25,000","25,000","25,050",Papua
Gula Pasir,II,Papua,1,"19,300","19,650","20,000","20,300","20,350","20,400","20,450","20,450","20,850","21,250","21,200","21,500","21,500","21,650","22,750","24,400","24,550","24,500","24,400","24,400","24,400","24,250","24,050","24,050","24,100","24,100","24,150","24,250",Papua
Beras,II,Jawa Barat,1,"14,250","15,500","15,750","15,250","14,600","14,500","14,600","14,600","14,600","14,550","14,550","14,600","14,650","14,550","14,600","14,600","14,600","14,700","14,800","14,850","14,900","14,900","14,800","14,800","14,850","14,900","15,050","15,150",Jawa
Daging Ayam,II,Jawa Barat,1,"34,550","36,300","39,400","38,900","37,600","36,650","36,500","34,700","34,250","36,300","36,500","36,500","36,550","35,700","36,350","34,300","33,550","34,750","34,500","34,300","38,950","38,250","37,700","40,450","37,050","40,300","41,650","37,850",Jawa
Daging Sapi,II,Jawa Barat,1,"139,450","139,150","140,900","142,800","141,100","140,950","140,900","140,800","140,350","140,000","140,000","139,950","140,100","139,600","144,100","143,250","139,850","139,950","138,950","138,750","138,750","138,650","138,600","138,950","140,000","143,200","149,200","151,250",Jawa
Telur Ayam,II,Jawa Barat,1,"26,750","28,700","31,550","28,650","29,900","28,450","27,950","27,100","26,400","26,700","26,400","29,650","28,450","28,600","28,850","27,300","27,550","28,050","29,100","28,150","28,550","30,550","29,700","30,700","29,300","30,550","30,950","29,300",Jawa
Bawang Merah,II,Jawa Barat,1,"35,550","31,900","33,750","54,500","51,950","42,150","31,400","26,700","27,000","29,750","39,850","41,500","37,700","35,050","52,050","54,900","42,900","45,700","51,400","50,700","39,650","41,350","43,650","46,150","39,400","46,200","45,400","43,400",Jawa
Bawang Putih,II,Jawa Barat,1,"40,400","39,800","41,850","44,500","44,750","43,750","42,100","41,800","41,750","42,450","43,350","44,000","43,700","44,200","47,100","48,750","45,400","43,300","41,200","40,650","39,650","38,900","38,600","39,100","39,450","40,100","39,700","39,050",Jawa
Cabai Merah,II,Jawa Barat,1,"73,450","87,550","71,500","53,950","52,500","55,800","45,000","43,550","33,800","30,650","31,100","45,250","67,200","56,650","60,700","55,950","42,600","49,850","45,400","43,350","56,250","60,450","64,250","55,800","38,550","45,100","49,450","43,800",Jawa
Cabai Rawit,II,Jawa Barat,1,"52,050","54,300","55,300","45,050","42,150","45,650","60,650","58,650","40,850","42,200","35,800","46,850","83,800","72,850","83,500","68,150","39,550","52,600","57,200","42,450","41,500","37,150","40,900","72,950","58,000","73,950","76,350","63,200",Jawa
Minyak Goreng,II,Jawa Barat,1,"17,950","18,300","18,400","18,600","18,500","18,500","18,550","18,650","18,750","18,900","19,650","20,450","20,900","20,900","20,950","20,900","20,700","20,500","20,500","20,600","20,800","20,800","20,800","20,800","20,800","21,200","22,250","22,900",Jawa
