Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Cabai Merah,II,Maluku Utara,1,"68,750","49,050","54,300","48,700","47,350","58,150","67,100","61,250","54,400","54,800","54,250","52,200","52,900","54,950","68,750","68,750","93,500","90,900","83,350","73,800","54,100","53,900","54,800","54,800","52,800","52,050","59,250","66,450",Maluku
Cabai Rawit,II,Maluku Utara,1,"99,650","61,900","67,100","69,650","78,900","85,450","79,000","77,250","78,550","80,000","84,150","77,750","78,600","80,050","115,150","104,200","126,000","110,350","117,600","114,050","88,200","85,850","74,200","86,500","85,550","82,900","94,200","139,300",Maluku
Minyak Goreng,II,Maluku Utara,1,"21,300","21,300","20,850","20,950","21,000","21,000","21,000","21,000","21,000","21,000","20,950","21,350","21,800","21,850","21,850","21,850","21,850","21,850","22,200","22,450","22,450","22,450","22,650","23,200","23,200","23,100","23,100","22,850",Maluku
Gula Pasir,II,Maluku Utara,1,"18,200","18,300","19,300","19,500","19,750","20,000","20,000","18,550","19,550","19,550","20,000","20,250","20,500","20,750","21,000","21,000","21,000","21,000","20,800","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500",Maluku
Beras,II,Kepulauan Riau,1,"14,300","14,450","14,600","14,600","14,700","14,700","14,850","14,950","15,000","15,000","14,900","15,100","15,200","15,200","15,100","15,100","15,100","15,100","15,150","15,200","15,150","15,050","14,950","15,100","15,400","15,450","15,450","15,500",Kepulauan
Daging Ayam,II,Kepulauan Riau,1,"37,300","39,550","39,850","37,050","39,350","40,000","38,250","39,000","37,900","38,700","39,250","39,150","39,850","36,000","39,000","39,000","39,750","36,950","38,250","38,600","39,200","37,600","40,050","43,050","41,800","42,000","42,100","42,300",Kepulauan
Daging Sapi,II,Kepulauan Riau,1,"99,250","99,250","99,950","100,700","99,500","99,500","99,400","99,200","99,200","99,200","99,200","99,450","99,200","99,650","100,350","100,450","98,950","99,750","110,000","115,400","115,850","115,500","115,000","118,050","122,450","123,050","128,750","126,850",Kepulauan
Telur Ayam,II,Kepulauan Riau,1,"27,400","28,100","30,100","30,600","30,150","30,150","29,450","29,600","29,700","28,950","29,300","30,500","30,700","30,650","30,450","30,300","28,950","30,100","31,800","31,600","31,100","31,100","30,800","31,350","30,650","30,750","30,450","30,250",Kepulauan
Bawang Merah,II,Kepulauan Riau,1,"38,950","33,550","32,550","34,050","37,300","39,450","40,450","36,000","35,950","36,850","44,600","48,500","38,700","34,550","39,950","37,800","35,300","34,850","46,750","43,950","33,800","33,850","37,300","44,550","44,150","36,500","32,750","31,100",Kepulauan
Bawang Putih,II,Kepulauan Riau,1,"34,250","33,600","34,950","37,350","37,150","36,400","35,400","34,400","34,500","34,650","36,000","36,750","36,050","35,400","35,650","35,400","34,150","33,000","33,000","31,800","30,250","29,500","30,400","32,600","32,150","31,550","30,900","30,050",Kepulauan
Cabai Merah,II,Kepulauan Riau,1,"57,350","71,450","75,850","55,800","64,550","68,450","55,150","53,900","43,000","39,900","40,700","50,500","78,000","72,500","59,950","67,750","55,300","43,500","41,250","47,650","70,750","83,350","77,600","82,150","56,200","57,150","51,850","41,950",Kepulauan
Cabai Rawit,II,Kepulauan Riau,1,"50,850","53,200","54,100","52,100","58,150","59,450","64,500","56,850","46,450","41,150","37,650","51,750","89,600","83,250","62,950","54,000","44,200","47,900","54,450","48,750","47,000","42,300","48,000","83,750","74,100","70,550","66,850","56,250",Kepulauan
Minyak Goreng,II,Kepulauan Riau,1,"16,300","16,400","16,250","16,400","16,600","17,050","17,050","17,100","17,800","17,850","17,900","18,700","18,950","19,050","19,100","19,150","19,050","19,050","19,000","19,000","19,000","18,800","18,700","18,850","19,150","19,150","19,050","19,450",Kepulauan
Gula Pasir,II,Kepulauan Riau,1,"17,150","16,250","16,200","16,350","16,850","16,850","16,250","16,100","16,150","16,050","15,950","16,850","15,950","16,250","17,200","16,850","16,100","15,800","15,750","15,650","15,650","15,400","15,350","17,350","17,850","17,800","17,800","17,450",Kepulauan
Beras,II,Sumatera Barat,1,"16,350","16,800","17,350","17,500","17,600","17,550","17,200","17,250","17,650","17,600","17,450","17,300","17,200","17,100","17,050","17,050","17,000","16,900","16,900","17,150","17,150","17,050","17,050","17,950","18,200","18,300","18,200","18,150",Sumatera
Daging Ayam,II,Sumatera Barat,1,"45,650","47,750","49,050","48,750","50,150","46,150","43,100","43,800","44,300","47,000","48,400","48,850","50,050","45,350","46,850","44,850","45,750","45,800","47,750","47,000","48,000","48,950","49,800","52,450","52,950","54,150","55,500","55,900",Sumatera
Daging Sapi,II,Sumatera Barat,1,"148,750","148,850","149,900","149,600","150,000","148,000","147,500","147,900","147,250","145,000","145,000","145,000","145,000","146,000","147,850","147,500","147,500","147,500","147,500","146,300","146,250","146,250","146,250","146,250","146,300","149,100","150,250","150,200",Sumatera
Telur Ayam,II,Sumatera Barat,1,"26,600","27,900","29,350","29,100","29,300","28,850","28,200","28,100","28,100","28,100","28,150","29,050","29,250","28,400","28,350","28,300","28,500","28,450","28,800","29,500","29,300","29,800","30,000","30,800","30,250","29,750","30,000","29,950",Sumatera
Bawang Merah,II,Sumatera Barat,1,"34,450","31,850","35,950","45,900","49,050","45,800","30,900","23,200","24,950","31,050","34,000","32,750","39,950","33,150","36,500","40,050","37,900","37,100","44,700","52,400","38,750","32,200","34,000","43,450","40,450","37,100","35,400","39,350",Sumatera
Bawang Putih,II,Sumatera Barat,1,"37,450","37,100","39,050","41,800","42,050","41,500","38,900","38,700","38,500","39,200","39,500","40,650","42,450","41,050","43,050","42,200","39,700","35,400","34,650","34,800","33,750","33,000","32,500","33,350","35,300","36,150","35,500","34,150",Sumatera
Cabai Merah,II,Sumatera Barat,1,"47,100","67,150","68,850","52,800","61,950","63,650","46,250","47,100","33,150","33,600","30,700","37,950","61,550","56,900","52,550","63,150","42,200","31,900","38,500","42,300","78,200","84,100","74,700","72,750","43,150","50,650","43,200","36,350",Sumatera
Cabai Rawit,II,Sumatera Barat,1,"48,000","65,650","68,950","52,900","48,400","51,650","52,450","51,000","49,950","41,550","36,750","43,800","54,950","60,400","47,250","40,450","32,150","26,700","33,950","38,750","43,600","40,650","35,000","69,250","76,700","53,100","40,900","35,300",Sumatera
Minyak Goreng,II,Sumatera Barat,1,"18,000","18,700","19,050","19,000","18,850","18,800","18,700","18,800","18,900","19,150","19,850","20,450","20,450","20,600","21,000","21,000","20,950","20,800","20,750","20,950","20,950","20,800","20,800","20,750","20,700","20,900","21,650","22,700",Sumatera
Gula Pasir,II,Sumatera Barat,1,"17,450","17,600","18,100","18,450","19,050","18,600","18,350","18,250","18,200","18,300","18,400","18,500","19,000","19,100","19,100","19,250","19,100","18,900","18,550","18,450","18,400","18,300","18,250","18,250","18,350","18,500","18,950","19,100",Sumatera
Beras,II,DKI Jakarta,1,"15,450","16,000","16,150","15,750","15,500","15,450","15,650","15,650","15,550","15,550","15,450","15,500","15,700","15,700","15,700","15,700","15,650","15,950","16,150","16,250","16,300","16,300","16,300","16,300","16,400","16,550","16,700","16,800",DKI
Daging Ayam,II,DKI Jakarta,1,"34,550","35,600","38,900","38,900","38,300","37,300","37,100","35,100","35,100","37,450","37,100","36,600","36,900","36,150","37,450","35,400","34,700","36,300","35,700","34,200","40,900","40,450","38,350","43,450","40,400","42,600","44,100","41,150",DKI
Daging Sapi,II,DKI Jakarta,1,"141,650","141,650","141,650","142,400","140,100","140,000","140,000","140,000","140,000","138,650","135,700","134,600","134,600","135,900","138,050","139,100","137,900","137,900","137,550","135,850","135,400","135,400","135,400","137,050","139,200","144,650","148,500","148,400",DKI
Telur Ayam,II,DKI Jakarta,1,"26,800","28,500","31,650","28,700","29,850","28,350","28,250","27,100","26,350","26,850","26,650","29,800","28,600","28,600","29,350","27,600","28,000","27,950","28,950","28,200","28,600","30,800","30,050","31,100","30,000","30,950","31,800","30,300",DKI
Bawang Merah,II,DKI Jakarta,1,"40,250","39,500","38,950","58,450","58,200","48,200","37,200","31,850","31,850","33,500","45,750","45,200","41,600","37,250","57,900","61,800","47,850","50,750","55,700","54,500","42,100","45,600","45,450","51,100","45,650","49,100","51,200","47,550",DKI
Bawang Putih,II,DKI Jakarta,1,"46,450","46,600","47,400","52,750","57,800","50,950","47,800","48,200","48,150","49,000","48,950","51,550","50,400","50,500","53,900","60,150","56,050","52,050","49,700","46,400","44,850","43,550","43,300","44,250","44,450","43,800","44,200","43,900",DKI
Cabai Merah,II,DKI Jakarta,1,"78,300","89,350","82,350","57,650","67,500","63,950","53,650","49,700","43,650","39,750","36,200","50,450","66,700","59,300","68,450","68,650","48,200","49,850","48,000","46,000","60,600","65,800","76,000","63,550","43,700","47,250","55,400","51,300",DKI
Cabai Rawit,II,DKI Jakarta,1,"58,000","62,000","64,350","48,200","47,200","51,000","66,850","67,050","48,350","46,100","39,700","55,850","93,350","80,050","89,500","74,750","42,150","55,200","57,750","44,700","45,100","43,200","46,150","79,350","62,950","80,500","82,350","67,400",DKI
Minyak Goreng,II,DKI Jakarta,1,"18,100","18,250","18,750","18,950","19,150","19,050","19,150","19,100","19,200","19,400","19,850","20,450","20,600","20,750","21,050","21,050","20,950","20,750","20,650","20,700","20,750","20,800","20,850","20,900","20,900","21,050","21,950","22,800",DKI
Gula Pasir,II,DKI Jakarta,1,"18,150","18,150","18,200","18,550","19,600","19,450","19,450","19,450","19,250","19,200","19,300","19,300","19,500","19,650","19,650","19,650","19,650","19,600","19,550","19,500","19,300","19,200","19,050","19,050","19,050","19,200","19,400","19,850",DKI
Beras,II,Riau,1,"15,250","15,350","15,450","15,500","15,700","15,750","15,850","15,850","15,850","15,900","15,900","15,900","15,900","16,000","16,050","16,050","16,050","16,300","16,300","16,300","16,300","16,300","16,300","16,300","16,350","16,350","16,400","16,400",Riau
Daging Ayam,II,Riau,1,"28,750","30,700","30,700","31,450","31,350","28,850","26,500","26,300","26,550","28,650","30,250","32,050","31,700","27,950","29,250","28,350","27,750","28,050","30,400","30,500","31,750","30,850","31,400","33,650","33,550","34,550","35,750","35,050",Riau
Daging Sapi,II,Riau,1,"126,050","126,050","127,500","128,600","128,300","128,100","127,900","128,150","127,100","126,450","126,300","125,700","124,700","124,850","125,600","125,150","124,500","124,450","125,050","125,200","125,200","125,200","125,200","126,100","127,200","128,800","130,450","131,850",Riau
Telur Ayam,II,Riau,1,"27,100","27,450","29,200","29,350","30,150","29,300","29,250","28,700","28,250","27,700","27,750","29,400","31,050","29,500","28,200","27,950","27,800","27,450","28,450","29,400","29,950","30,850","31,550","33,000","31,950","31,050","31,400","31,250",Riau
Bawang Merah,II,Riau,1,"34,450","33,950","36,550","43,400","48,000","42,800","34,700","26,850","25,800","30,050","34,350","33,800","39,900","34,950","35,800","40,300","37,600","37,150","44,300","50,400","41,500","34,650","34,750","47,200","40,150","36,650","36,100","39,500",Riau
Bawang Putih,II,Riau,1,"36,100","35,600","38,100","40,100","40,200","39,450","38,600","38,200","38,100","38,450","39,700","40,800","41,200","40,850","42,100","42,000","39,750","37,350","35,850","36,050","35,650","35,650","35,600","35,900","36,600","35,500","35,150","34,950",Riau
Cabai Merah,II,Riau,1,"47,400","61,700","75,800","56,100","65,750","67,550","52,100","50,950","39,750","39,100","39,100","42,150","63,200","61,700","53,000","64,700","45,000","34,850","35,700","41,050","82,600","92,450","78,050","82,700","50,950","52,100","45,550","35,500",Riau
Cabai Rawit,II,Riau,1,"48,700","54,500","60,800","52,400","46,700","47,500","52,750","58,000","50,450","41,500","36,450","41,350","64,250","67,850","59,400","53,400","35,950","35,000","42,050","47,250","49,950","41,550","40,100","81,250","72,950","54,800","48,950","39,400",Riau
Minyak Goreng,II,Riau,1,"16,850","17,150","17,100","17,150","17,300","17,350","17,450","17,500","17,550","17,800","18,350","19,450","19,750","19,800","19,650","19,550","19,550","19,600","19,750","19,800","19,800","19,750","19,750","19,800","19,850","19,900","20,000","20,450",Riau
Gula Pasir,II,Riau,1,"17,000","17,150","17,350","17,750","18,200","17,800","17,800","17,800","17,900","17,900","17,900","17,900","18,400","18,400","18,750","18,600","18,400","18,300","18,150","18,000","17,950","17,800","17,800","17,750","17,850","18,000","18,700","18,950",Riau
Beras,II,Kepulauan Bangka Belitung,1,"14,650","15,850","16,400","16,200","15,800","15,400","15,150","15,000","15,000","15,000","15,000","15,000","15,000","15,050","15,000","15,000","15,050","15,250","15,350","15,350","15,350","15,300","15,300","15,300","15,200","15,150","15,150","15,250",Kepulauan
Daging Ayam,II,Kepulauan Bangka Belitung,1,"37,850","38,050","36,750","39,000","38,150","36,600","35,900","38,400","36,150","36,400","38,100","39,000","40,200","39,650","34,850","32,850","33,650","37,800","39,550","35,950","38,800","44,000","40,750","40,700","42,900","41,150","43,350","40,750",Kepulauan
