Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
JAWA TENGAH,2.83,4.43,3.54,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
DI YOGYAKARTA,3.3,4.91,4.08,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA TIMUR,3.29,4.88,3.79,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BANTEN,3.48,5.14,3.55,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BALI,2.58,3.89,2.81,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,3.86,5.37,4.09,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,3.34,3.42,2.4,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN BARAT,3.33,3.9,2.89,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,4.09,5.06,3.86,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,4.66,5.97,4.83,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,3.76,4.64,3.31,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN UTARA,4.08,4.75,3.12,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI UTARA,3.04,4.64,2.2,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGAH,4.55,5.33,2.83,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI SELATAN,4.11,6.13,4.5,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGGARA,5.1,5.41,3.37,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
GORONTALO,4.53,5.3,2.6,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI BARAT,4.34,5.15,2.94,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU,4.7,5.97,3.4,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU UTARA,4.86,5.85,2.56,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT,5.02,5.83,3.51,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,3.75,4.16,4.09,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA,3.33,3.94,3.5,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA SELATAN,4.83,5.5,3.6,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA TENGAH,4.85,4.93,2.54,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,2.93,0.63,3.14,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
INDONESIA,3.55,4.76,3.48,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
ACEH,-0.15,-0.38,-0.34,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA UTARA,-0.75,-0.53,-0.66,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA BARAT,-1.15,-0.85,-0.82,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
RIAU,-0.45,-0.12,-0.32,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAMBI,-0.47,0.11,0.24,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA SELATAN,0.05,0.64,0.93,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BENGKULU,-0.75,-0.1,0.17,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
LAMPUNG,-0.07,0.29,0.48,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. BANGKA BELITUNG,0.28,-0.36,0.05,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. RIAU,-0.09,0.35,0.43,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DKI JAKARTA,-0.23,0.4,0.9,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA BARAT,-0.09,0.72,1.24,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TENGAH,-0.35,0.41,0.98,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.16,0.52,0.97,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TIMUR,-0.2,0.74,1.13,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BANTEN,-0.34,0.59,1.07,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BALI,-0.34,0.35,0.91,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,0.27,1.12,1.93,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,0.65,1.1,1.35,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN BARAT,0.27,0.78,1.03,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,0.38,0.85,1.39,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,0.2,1.06,1.57,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,0.04,0.64,1.37,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN UTARA,0.1,0.57,1.14,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI UTARA,0.67,1.69,1.95,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGAH,0.01,0.81,1.19,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI SELATAN,0.47,1.51,2.11,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGGARA,0.69,1.35,1.77,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
GORONTALO,0.28,1.12,1.36,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI BARAT,0.71,1.01,1.09,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU,0.75,1.34,0.58,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU UTARA,1.48,2.33,1.77,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT,0.02,-0.63,-0.58,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,0.19,-0.38,0.66,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA,-0.36,-0.3,0.41,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA SELATAN,1.06,1.66,2.02,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA TENGAH,-0.29,-0.32,-0.05,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,-0.05,0.43,3.02,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
INDONESIA,-0.15,0.53,0.94,-,-,-,-,-,-,-,-,-,-,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
