Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
SUMATERA BARAT,1.24,-0.09,0.3,2.38,0.85,0.45,2.19,2.89,4.22,4.52,3.98,5.15,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
RIAU,1.12,0.02,0.68,2.07,0.98,0.98,2.42,3.58,5.08,4.95,4.27,4.88,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAMBI,0.46,-0.27,0.32,1.84,0.96,1.34,2.71,2.76,3.77,3.71,3.55,3.71,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SUMATERA SELATAN,0.92,0.49,1.77,2.74,2.33,2.44,2.88,3.04,3.44,3.49,2.91,2.91,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BENGKULU,0.09,-1.26,-0.22,0.96,0.39,-0.1,1.01,1.3,2.57,2.85,2.68,2.77,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
LAMPUNG,1.04,-0.02,1.58,2.8,2.12,2.27,2.63,1.05,1.17,1.2,1.14,1.25,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KEPULAUAN BANGKA BELITUNG,-0.23,-0.64,1.13,1.37,0.79,0.99,2.05,1.34,1.82,2.51,2.87,2.77,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KEPULAUAN RIAU,2.01,2.09,2.01,2.56,1.73,1.32,1.97,2.19,2.7,3.01,3.0,3.47,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
DKI JAKARTA,0.14,-0.59,1.02,2.21,2.07,2.07,2.25,2.16,2.4,2.69,2.67,2.63,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA BARAT,0.79,-0.27,0.81,1.67,1.47,1.78,2.03,1.77,2.19,2.63,2.54,2.63,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
