Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
DKI JAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.5
JAWA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.68
JAWA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.46
DI YOGYAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.35
JAWA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.54
BANTEN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.05
BALI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.02
NUSA TENGGARA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.55
NUSA TENGGARA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.27
KALIMANTAN BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.17
KALIMANTAN TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.54
KALIMANTAN SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.76
KALIMANTAN TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.0
KALIMANTAN UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.35
SULAWESI UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.1
SULAWESI TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.18
SULAWESI SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.75
SULAWESI TENGGARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.45
GORONTALO,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.64
SULAWESI BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.08
MALUKU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.33
MALUKU UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.64
PAPUA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-2.29
PAPUA BARAT DAYA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.36
PAPUA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.13
PAPUA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.75
