Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
BALI,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
NUSA TENGGARA BARAT,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
NUSA TENGGARA TIMUR,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
KALIMANTAN BARAT,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
KALIMANTAN TENGAH,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
KALIMANTAN SELATAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
KALIMANTAN TIMUR,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
KALIMANTAN UTARA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
SULAWESI UTARA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
SULAWESI TENGAH,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
SULAWESI SELATAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
SULAWESI TENGGARA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
GORONTALO,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
SULAWESI BARAT,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
MALUKU,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
MALUKU UTARA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA BARAT,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA BARAT DAYA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA SELATAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA TENGAH,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
PAPUA PEGUNUNGAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
INDONESIA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Juli,
ACEH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.1
SUMATERA UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.14
SUMATERA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.16
RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.27
JAMBI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.01
SUMATERA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.19
BENGKULU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.18
LAMPUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.07
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.23
KEPULAUAN RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.04
DKI JAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.04
JAWA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.07
JAWA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.07
DI YOGYAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.05
JAWA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.07
BANTEN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.01
BALI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.1
NUSA TENGGARA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.06
NUSA TENGGARA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.25
KALIMANTAN BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.25
KALIMANTAN TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.39
KALIMANTAN SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.36
KALIMANTAN TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.12
KALIMANTAN UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.19
SULAWESI UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.04
SULAWESI TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.25
SULAWESI SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.04
SULAWESI TENGGARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.27
GORONTALO,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.14
SULAWESI BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.13
MALUKU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.34
MALUKU UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.08
PAPUA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.31
PAPUA BARAT DAYA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.05
PAPUA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.08
PAPUA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.25
PAPUA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.24
PAPUA PEGUNUNGAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.02
INDONESIA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.03
ACEH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.7
SUMATERA UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,4.42
SUMATERA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.89
RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.58
JAMBI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.76
SUMATERA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.04
BENGKULU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.3
LAMPUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.05
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.34
KEPULAUAN RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.19
DKI JAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.16
JAWA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.77
JAWA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.48
DI YOGYAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.3
JAWA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.17
BANTEN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.95
BALI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.65
NUSA TENGGARA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.56
NUSA TENGGARA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.71
KALIMANTAN BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.13
KALIMANTAN TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.08
KALIMANTAN SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.68
KALIMANTAN TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.79
KALIMANTAN UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.24
SULAWESI UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,0.94
SULAWESI TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,4.02
SULAWESI SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.12
SULAWESI TENGGARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.75
GORONTALO,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.51
SULAWESI BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.52
MALUKU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.25
MALUKU UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,0.43
PAPUA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,-0.87
PAPUA BARAT DAYA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.88
PAPUA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,0.54
PAPUA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.78
PAPUA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.86
PAPUA PEGUNUNGAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.71
INDONESIA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.31
ACEH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,3.36
SUMATERA UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.93
SUMATERA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.59
RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.78
JAMBI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.22
SUMATERA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.98
BENGKULU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.12
LAMPUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-0.08
KEP. BANGKA BELITUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.88
KEP. RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.07
DKI JAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.57
JAWA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.36
JAWA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.39
DI YOGYAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.59
JAWA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.44
BANTEN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.11
BALI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.63
NUSA TENGGARA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.35
NUSA TENGGARA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.45
KALIMANTAN BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.05
KALIMANTAN TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.01
KALIMANTAN SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.47
KALIMANTAN TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.51
KALIMANTAN UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.84
SULAWESI UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.93
SULAWESI TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,3.62
SULAWESI SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.49
SULAWESI TENGGARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,3.53
GORONTALO,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.65
SULAWESI BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.46
MALUKU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.81
MALUKU UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.19
PAPUA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-0.44
PAPUA BARAT DAYA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.72
PAPUA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-0.72
PAPUA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.99
PAPUA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.2
PAPUA PEGUNUNGAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.76
INDONESIA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.6
ACEH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.84
SUMATERA UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.67
SUMATERA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.59
RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.46
JAMBI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.89
SUMATERA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.16
BENGKULU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.67
LAMPUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.43
KEP. BANGKA BELITUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.3
KEP. RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.97
DKI JAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.89
JAWA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.23
JAWA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.59
DI YOGYAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.58
JAWA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.78
BANTEN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.04
BALI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.33
NUSA TENGGARA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.08
NUSA TENGGARA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-0.06
KALIMANTAN BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.64
KALIMANTAN TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-0.02
KALIMANTAN SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.75
KALIMANTAN TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.19
KALIMANTAN UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.89
SULAWESI UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.43
SULAWESI TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.9
SULAWESI SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.61
SULAWESI TENGGARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.83
GORONTALO,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,-1.62
SULAWESI BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.46
MALUKU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.85
MALUKU UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.26
PAPUA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.97
PAPUA BARAT DAYA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.7
PAPUA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.48
PAPUA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,1.01
PAPUA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,2.6
PAPUA PEGUNUNGAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,4.4
INDONESIA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Agustus,0.87
ACEH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.29
SUMATERA UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.86
SUMATERA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.22
RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.99
JAMBI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.5
SUMATERA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.8
BENGKULU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.34
LAMPUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.33
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.02
KEPULAUAN RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.64
DKI JAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.98
JAWA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.39
JAWA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.77
DI YOGYAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.33
JAWA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.05
BANTEN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.45
BALI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.32
NUSA TENGGARA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.01
NUSA TENGGARA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.22
KALIMANTAN BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.47
KALIMANTAN TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.29
KALIMANTAN SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.71
KALIMANTAN TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.13
KALIMANTAN UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.59
SULAWESI UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,4.29
SULAWESI TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.14
SULAWESI SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.77
SULAWESI TENGGARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.62
GORONTALO,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.65
SULAWESI BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.59
MALUKU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.58
MALUKU UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.89
PAPUA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.8
PAPUA BARAT DAYA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.66
PAPUA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.03
PAPUA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,1.8
PAPUA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,3.74
PAPUA PEGUNUNGAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,5.05
INDONESIA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Agustus,2.12
ACEH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.78
SUMATERA UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,1.37
SUMATERA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.52
RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.85
JAMBI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.05
SUMATERA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.04
BENGKULU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.1
LAMPUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-1.47
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.46
KEPULAUAN RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.18
DKI JAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.05
JAWA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.19
JAWA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.1
DI YOGYAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.24
JAWA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.1
BANTEN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.32
BALI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.39
NUSA TENGGARA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.41
NUSA TENGGARA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.55
KALIMANTAN BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.26
KALIMANTAN TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.44
KALIMANTAN SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.16
KALIMANTAN TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.4
KALIMANTAN UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.06
SULAWESI UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-1.11
SULAWESI TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.06
SULAWESI SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,0.04
SULAWESI TENGGARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.24
GORONTALO,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.73
SULAWESI BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.18
MALUKU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-0.09
MALUKU UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Agustus,-1.9
